NACA 2421
1.00014667 0.00220012
0.99997525 0.00225441
0.99946107 0.00241719
0.99860447 0.00268812
0.99740596 0.00306663
0.99586630 0.00355195
0.99398643 0.00414306
0.99176752 0.00483877
0.98921095 0.00563765
0.98631831 0.00653808
0.98309140 0.00753824
0.97953223 0.00863612
0.97564303 0.00982953
0.97142624 0.01111612
0.96688450 0.01249336
0.96202069 0.01395857
0.95683787 0.01550894
0.95133932 0.01714151
0.94552854 0.01885320
0.93940922 0.02064081
0.93298529 0.02250105
0.92626085 0.02443052
0.91924024 0.02642573
0.91192797 0.02848314
0.90432878 0.03059911
0.89644760 0.03276995
0.88828957 0.03499193
0.87986001 0.03726126
0.87116444 0.03957412
0.86220859 0.04192666
0.85299834 0.04431498
0.84353980 0.04673519
0.83383924 0.04918336
0.82390311 0.05165555
0.81373804 0.05414781
0.80335082 0.05665617
0.79274844 0.05917668
0.78193802 0.06170534
0.77092686 0.06423818
0.75972241 0.06677121
0.74833227 0.06930043
0.73676418 0.07182184
0.72502604 0.07433143
0.71312588 0.07682518
0.70107185 0.07929908
0.68887224 0.08174908
0.67653545 0.08417115
0.66407002 0.08656124
0.65148458 0.08891530
0.63878786 0.09122927
0.62598872 0.09349908
0.61309609 0.09572066
0.60011899 0.09788994
0.58706654 0.10000286
0.57394791 0.10205535
0.56077237 0.10404336
0.54754923 0.10596288
0.53428789 0.10780988
0.52099775 0.10958040
0.50768832 0.11127049
0.49436909 0.11287628
0.48104962 0.11439393
0.46773947 0.11581968
0.45444824 0.11714985
0.44118551 0.11838084
0.42796090 0.11950918
0.41478400 0.12053149
0.40166438 0.12144453
0.38845168 0.12223608
0.37529071 0.12288878
0.36221485 0.12340013
0.34923424 0.12376807
0.33635899 0.12399080
0.32359916 0.12406681
0.31096474 0.12399483
0.29846564 0.12377394
0.28611168 0.12340347
0.27391257 0.12288307
0.26187789 0.12221273
0.25001713 0.12139271
0.23833959 0.12042363
0.22685444 0.11930642
0.21557068 0.11804231
0.20449712 0.11663288
0.19364240 0.11508001
0.18301492 0.11338588
0.17262291 0.11155299
0.16247434 0.10958414
0.15257697 0.10748238
0.14293829 0.10525107
0.13356558 0.10289380
0.12446582 0.10041440
0.11564574 0.09781694
0.10711182 0.09510568
0.09887022 0.09228506
0.09092684 0.08935969
0.08328730 0.08633429
0.07595692 0.08321374
0.06894073 0.08000296
0.06224347 0.07670696
0.05586958 0.07333077
0.04982321 0.06987943
0.04410822 0.06635796
0.03872815 0.06277134
0.03368628 0.05912446
0.02898558 0.05542211
0.02462875 0.05166897
0.02061819 0.04786955
0.01695601 0.04402818
0.01364407 0.04014899
0.01068393 0.03623588
0.00807687 0.03229251
0.00582394 0.02832228
0.00392588 0.02432829
0.00238320 0.02031335
0.00119614 0.01627995
0.00036468 0.01223026
-0.00011144 0.00816610
-0.00023275 0.00408897
0.00000000 0.00000000
0.00058121 -0.00405413
0.00150503 -0.00802687
0.00276999 -0.01191741
0.00437433 -0.01572484
0.00631611 -0.01944815
0.00859313 -0.02308619
0.01120296 -0.02663771
0.01414296 -0.03010139
0.01741028 -0.03347579
0.02100184 -0.03675942
0.02491437 -0.03995071
0.02914441 -0.04304806
0.03368830 -0.04604982
0.03854219 -0.04895434
0.04370207 -0.05175993
0.04916376 -0.05446496
0.05492292 -0.05706780
0.06097504 -0.05956687
0.06731549 -0.06196067
0.07393949 -0.06424778
0.08084213 -0.06642686
0.08801837 -0.06849670
0.09546306 -0.07045624
0.10317093 -0.07230453
0.11113661 -0.07404081
0.11935462 -0.07566448
0.12781939 -0.07717514
0.13652526 -0.07857257
0.14546648 -0.07985677
0.15463719 -0.08102797
0.16403147 -0.08208660
0.17364332 -0.08303331
0.18346664 -0.08386902
0.19349528 -0.08459485
0.20372297 -0.08521217
0.21414339 -0.08572257
0.22475015 -0.08612788
0.23553675 -0.08643015
0.24649663 -0.08663165
0.25762314 -0.08673485
0.26890956 -0.08674244
0.28034908 -0.08665728
0.29193480 -0.08648243
0.30365973 -0.08622109
0.31551681 -0.08587663
0.32749889 -0.08545254
0.33959871 -0.08495246
0.35180895 -0.08438010
0.36412216 -0.08373927
0.37653084 -0.08303385
0.38902738 -0.08226778
0.40162728 -0.08144483
0.41445733 -0.08055524
0.42734910 -0.07959416
0.44029401 -0.07856526
0.45328340 -0.07747224
0.46630859 -0.07631881
0.47936083 -0.07510869
0.49243133 -0.07384557
0.50551127 -0.07253311
0.51859180 -0.07117493
0.53166406 -0.06977461
0.54471913 -0.06833568
0.55774811 -0.06686157
0.57074208 -0.06535566
0.58369214 -0.06382124
0.59658936 -0.06226154
0.60942484 -0.06067966
0.62218972 -0.05907863
0.63487513 -0.05746140
0.64747224 -0.05583080
0.65997228 -0.05418958
0.67236650 -0.05254041
0.68464621 -0.05088584
0.69680278 -0.04922835
0.70882764 -0.04757035
0.72071231 -0.04591415
0.73244836 -0.04426199
0.74402746 -0.04261604
0.75544138 -0.04097841
0.76668195 -0.03935115
0.77774115 -0.03773624
0.78861104 -0.03613564
0.79928381 -0.03455124
0.80975176 -0.03298490
0.82000734 -0.03143846
0.83004310 -0.02991371
0.83985176 -0.02841243
0.84942618 -0.02693637
0.85875936 -0.02548727
0.86784447 -0.02406684
0.87667485 -0.02267679
0.88524399 -0.02131881
0.89354557 -0.01999457
0.90157345 -0.01870575
0.90932167 -0.01745400
0.91678447 -0.01624093
0.92395628 -0.01506819
0.93083174 -0.01393735
0.93740570 -0.01284999
0.94367321 -0.01180766
0.94962955 -0.01081186
0.95527023 -0.00986407
0.96059096 -0.00896571
0.96558773 -0.00811817
0.97025672 -0.00732278
0.97459437 -0.00658081
0.97859739 -0.00589346
